Category,Message
ham,Call him and say you not coming today ok and tell them not to fool me like this ok
ham,Aiyah ok wat as long as got improve can already wat...
spam,For sale - arsenal dartboard. Good condition but no doubles or trebles!
ham,"Ela kano.,il download, come wen ur free.."
spam,Get a $1000 Lowes Gift Card! Complete the home improvement survey: bit.ly/lowes-win
ham,Sun ah... Thk mayb can if dun have anythin on... Thk have to book e lesson... E pilates is at orchard mrt u noe hor...
ham,There are many company. Tell me the language.
ham,Alex knows a guy who sells mids but he's down in south tampa and I don't think I could set it up before like 8
ham,Midnight at the earliest
ham,You're gonna have to be way more specific than that
ham,I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.
spam,Earn $600/week by placing a 'Coca-Cola' ad on your car window. Sign up: car-ad-wrap.net
ham,Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.
spam,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE"
ham,Tessy..pls do me a favor. Pls convey my birthday wishes to Nimya..pls dnt forget it. Today is her birthday Shijas
ham,I dunno they close oredi not... Ü v ma fan...
ham,Where at were hungry too
spam,"Got what it takes 2 take part in the WRC Rally in Oz? U can with Lucozade Energy! Text RALLY LE to 61200 (25p), see packs or lucozade.co.uk/wrc & itcould be u!"
ham,Yup. Izzit still raining heavily cos i'm in e mrt i can't c outside.
ham,Or ü go buy wif him then i meet ü later can?
ham,Well obviously not because all the people in my cool college life went home ;_;
ham,"Ya, told..she was asking wats matter?"
spam,Hard LIVE 121 chat just 60p/min. Choose your girl and connect LIVE. Call 09094646899 now! Cheap Chat UK's biggest live service. VU BCM1896WC1N3XX
ham,Re your call; You didn't see my facebook huh?
spam,Earn $20/hr playing and testing new mobile strategy games. No experience needed: game-tester-pay.net
spam,"Dear Matthew please call 09063440451 from a landline, your complimentary 4*Lux Tenerife holiday or £1000 CASH await collection. ppm150 SAE T&Cs Box334 SK38XH."
ham,No that just means you have a fat head
ham,Action required: Confirm your email address for your new eBay account.
ham,"Geeeee ... Your internet is really bad today, eh ?"
ham,U really pig leh sleep so much. My dad wake me up at 10 smth 2 eat lunch today.
ham,Dis is yijue. I jus saw ur mail. In case huiming havent sent u my num. Dis is my num.
ham,"Mum, i've sent you many many messages since i got here. I just want to know that you are actually getting them. Do enjoy the rest of your day."
ham,Boooo you always work. Just quit.
ham,Just trying to figure out when I'm suppose to see a couple different people this week. We said we'd get together but I didn't set dates
ham,Prabha..i'm soryda..realy..frm heart i'm sory
ham,I plane to give on this month end.
ham,do u think that any girl will propose u today by seing ur bloody funky shit fucking face...............asssssholeeee................
ham,Nah im goin 2 the wrks with j wot bout u?
ham,I am in tirupur.  call you da.
ham,Hurt me... Tease me... Make me cry... But in the end of my life when i die plz keep one rose on my grave and say STUPID I MISS U.. HAVE A NICE DAY BSLVYL
spam,Your Hulu payment was processed. View your $18.99 invoice: hulu-invoice.co
ham,Get ready for  &lt;#&gt;  inches of pleasure...
spam,Claim your free $50 Voucher for Walmart! Only 12 spots remaining. Click here: bit.ly/wm-voucher
ham,Probably a couple hours tops
ham,"Just looked it up and addie goes back Monday, sucks to be her"
ham,"hey, looks like I was wrong and one of the kappa guys numbers is still on my phone, if you want I can text him and see if he's around"
spam,Get a $500 Sephora Gift Card! Take our 'Summer Beauty' survey: bit.ly/sephora-win-26
ham,You stayin out of trouble stranger!!saw Dave the other day hes sorted now!still with me bloke when u gona get a girl MR!ur mum still Thinks we will get 2GETHA!
spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt
ham,I can ask around but there's not a lot in terms of mids up here
ham,Hmm. Shall i bring a bottle of wine to keep us amused? Just joking! I'll still bring a bottle. Red or white? See you tomorrow
ham,Now only i reached home. . . I am very tired now. . I will come tomorro
spam,"This is the 2nd time we have tried 2 contact u. U have won the 750 Pound prize. 2 claim is easy, call 08718726970 NOW! Only 10p per min. BT-national-rate"
ham,Just sing HU. I think its also important to find someone female that know the place well preferably a citizen that is also smart to help you navigate through. Even things like choosing a phone plan require guidance. When in doubt ask especially girls.
ham,Aslamalaikkum....insha allah tohar beeen muht albi mufti mahfuuz...meaning same here....
ham,Ü wait 4 me in sch i finish ard 5..
spam,Your UPS shipment is delayed due to high volume. See status: ups-track.info
ham,Aww that's the first time u said u missed me without asking if I missed u first. You DO love me! :)
ham,"Dont pack what you can buy at any store.like cereals. If you must pack food, pack gari or something 9ja that you will miss."
ham,Unni thank you dear for the recharge..Rakhesh
spam,Get a 1:1 replica of any luxury handbag for 10% of the price. Shop now: designer-fakes.net
spam,Your package is at the local sorting facility. See delivery status: track-my-status.info
ham,"U wake up already? Wat u doing? U picking us up later rite? I'm taking sq825, reaching ard 7 smth 8 like dat. U can check e arrival time. C ya soon..."
ham,Lol no. I just need to cash in my nitros. Hurry come on before I crash out!
spam,Your Instagram account will be disabled for 'Inappropriate Content'. Appeal: insta-appeal.biz
ham,"THATS ALRITE GIRL, U KNOW GAIL IS NEVA WRONG!!TAKE CARE SWEET AND DONT WORRY.C U L8TR HUN!LOVE Yaxxx"
ham,Dun need to use dial up juz open da browser n surf...
ham,"She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife,"
spam,Win a $500 Lowe's Gift Card! Help us improve our customer service: bit.ly/lowes-survey-win
ham,Oh...i asked for fun. Haha...take care. ü
ham,"Got fujitsu, ibm, hp, toshiba... Got a lot of model how to say..."
spam,Earn $700/week by watching and reviewing new movies on Netflix. Apply today: movie-reviewer-jobs.net
ham,I not at home now lei...
spam,"Someone has contacted our dating service and entered your phone becausethey fancy you! To find out who it is call from a landline 09058098002. PoBox1, W14RG 150p"
spam,Alert: Your Coinbase withdrawal of 0.2 BTC is pending. Cancel: coinbase-fix.io
ham,Normally i use to drink more water daily:)
ham,I am taking half day leave bec i am not well
ham,Mum say we wan to go then go... Then she can shun bian watch da glass exhibition...
ham,"Yeah that's what I thought, lemme know if anything's goin on later"
ham,Do ü noe if ben is going?
ham,I'm in class. Will holla later
ham,Was the farm open?
ham,How i noe... She's in da car now... Later then c lar... I'm wearing shorts...
ham,So dont use hook up any how
ham,Oh is it! Which brand?
ham,It is a good thing I'm now getting the connection to bw
ham,Today i'm not workin but not free oso... Gee... Thgt u workin at ur fren's shop ?
spam,Your DHL shipment is held at the airport. Pay the $2.00 handling fee: dhl-fees.info
spam,URGENT: Your credit card statement for March 2026 is ready. Minimum payment of $450.00 due today: amex-pay-now.co
ham,I asked sen to come chennai and search for job.
spam,Get a 0% interest rate on all credit card balances for the next 12 months. Limited offer: credit-relief.biz
ham,&lt;DECIMAL&gt; m but its not a common car here so its better to buy from china or asia. Or if i find it less expensive. I.ll holla
ham,Horrible bf... I now v hungry...
ham,Thanks for loving me so. You rock
ham,My love ... I hope your not doing anything drastic. Don't you dare sell your pc or your phone ...
spam,Earn $150/day by simply watching and liking YouTube Shorts. Join our research group: yt-shorts-pay.net
ham,"Come round, it's ."
ham,You have registered Sinco as Payee. Log in at icicibank.com and enter URN  &lt;#&gt;  to confirm. Beware of frauds. Do NOT share or disclose URN to anyone.
ham,* Was thinking about chuckin ur red green n black trainners 2 save carryin them bac on train
ham,"It wont b until 2.15 as trying 2 sort house out, is that ok?"
ham,Hi.:)technical support.providing assistance to us customer through call and email:)
ham,Hey next sun 1030 there's a basic yoga course... at bugis... We can go for that... Pilates intro next sat.... Tell me what time you r free
spam,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+
ham,When ü login dat time... Dad fetching ü home now?
spam,"Congratulations - Thanks to a good friend U have WON the £2,000 Xmas prize. 2 claim is easy, just call 08712103738 NOW! Only 10p per minute. BT-national-rate"
ham,I anything lor...
ham,Yup i thk cine is better cos no need 2 go down 2 plaza mah.
ham,I don't know jack shit about anything or i'd say/ask something helpful but if you want you can pretend that I did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga
ham,Good day to You too.Pray for me.Remove the teeth as its painful maintaining other stuff.
ham,"Say this slowly.? GOD,I LOVE YOU &amp; I NEED YOU,CLEAN MY HEART WITH YOUR BLOOD.Send this to Ten special people &amp; u c miracle tomorrow, do it,pls,pls do it..."
ham,"Sorry man, accidentally left my phone on silent last night and didn't check it til I got up"
ham,Aiyah then i wait lor. Then u entertain me. Hee...
ham,Really good:)dhanush rocks once again:)
ham,Yes. Last  practice
spam,"FreeMsg Hey there darling it's been 3 week's now and no word back! I'd like some fun you up for it still? Tb ok! XxX std chgs to send, £1.50 to rcv"
spam,I don't know u and u don't know me. Send CHAT to 86688 now and let's find each other! Only 150p/Msg rcvd. HG/Suite342/2Lands/Row/W1J6HL LDN. 18 years or over.
ham,Text her. If she doesnt reply let me know so i can have her log in
spam,Don't b floppy... b snappy & happy! Only gay chat service with photo upload call 08718730666 (10p/min). 2 stop our texts call 08712460324
spam,Your PayPal account has a pending transfer of $750.00 to 'Global Crypto'. Not you? Stop: paypal-security-portal.biz
spam,PRIVATE! Your 2003 Account Statement for 078
spam,Earn $3500/month as a 'Freelance Writer'. Apply: content-write-jobs.net
ham,I know you mood off today
spam,Your Instagram account will be disabled for 'Copyright Violation'. Appeal here: insta-appeal-portal.biz
ham,Did you stitch his trouser
ham,Where do you need to go to get it?
ham,Hi darlin im on helens fone im gonna b up the princes 2 nite please come up tb love Kate
ham,Order Confirmation: Your purchase of wireless mouse at Amazon was successful.
ham,No plans yet. What are you doing ?
ham,Dont let studying stress you out. L8r.
spam,Your B4U voucher w/c 27/03 is MARSMS. Log onto www.B4Utele.com for discount credit. To opt out reply stop. Customer care call 08717168528
ham,"Now u sound like manky scouse boy steve,like! I is travelling on da bus home.wot has u inmind 4 recreation dis eve?"
ham,Ugh fuck it I'm resubbing to eve
ham,"I wasn't well babe, i have swollen glands at my throat ... What did you end up doing ?"
ham,I want to tel u one thing u should not mistake me k THIS IS THE MESSAGE THAT YOU SENT:)
spam,Earn $500/week by watching movie trailers on your iPad: movie-jobs.net
ham,Die... I accidentally deleted e msg i suppose 2 put in e sim archive. Haiz... I so sad...
ham,"Sorry, my battery died, I can come by but I'm only getting a gram for now, where's your place?"
ham,Lol ... I really need to remember to eat when I'm drinking but I do appreciate you keeping me company that night babe *smiles*
ham,Good Morning my Dear........... Have a great &amp; successful day.
ham,Order Confirmation: Your purchase of running shoes at eBay was successful.
ham,K. I will sent it again
ham,Ü still attending da talks?
spam,Your American Express card was used for a $700 purchase. Dispute: amex-fix.co
ham,I'm okay. Chasing the dream. What's good. What are you doing next.
ham,Wewa is 130. Iriver 255. All 128 mb.
ham,i felt so...not any conveying reason.. Ese he... What about me?
spam,U have a secret admirer who is looking 2 make contact with U-find out who they R*reveal who thinks UR so special-call on 09058094594
ham,Good. Good job. I like entrepreneurs
ham,hope things went well at 'doctors' ;) reminds me i still need 2go.did u c d little thing i left in the lounge?
spam,"Your FedEx delivery failed today at 2:15 PM. To reschedule for tomorrow, please confirm your address: fedex-reschedule.info"
ham,Great. P diddy is my neighbor and comes for toothpaste every morning
spam,Block Breaker now comes in deluxe format with new features and great graphics from T-Mobile. Buy for just £5 by replying GET BBDELUXE and take the challenge
spam,Your Bitcoin wallet has received a deposit of 0.05 BTC. Login to confirm: btc-wallet-check.io
ham,Do you want bold 2 or bb torch
spam,"Loan for any purpose £500 - £75,000. Homeowners + Tenants welcome. Have you been previously refused? We can still help. Call Free 0800 1956669 or text back 'help'"
ham,"4 tacos + 1 rajas burrito, right?"
ham,I cant pick the phone right now. Pls send a message
spam,Your package from 'Global Shop' is arriving. Confirm your porch delivery: delivery-check.info
ham,Come aftr  &lt;DECIMAL&gt; ..now i m cleaning the house
spam,Earn $20/hr testing new video games. No experience needed. Sign up: game-tester.net
ham,U gd lor go shopping i got stuff to do. U wan 2 watch infernal affairs a not? Come lar...
spam,Your American Express statement is ready. Pay now to avoid late fees: amex-pay-portal.me
ham,"Sorry, I'll call later"
ham,I am joining today formally.Pls keep praying.will talk later.
ham,"My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
ham,Yo you around? A friend of mine's lookin to pick up later tonight
spam,"As a valued customer, I am pleased to advise you that following recent review of your Mob No. you are awarded with a £1500 Bonus Prize, call 09066364589"
spam,FREE for 1st week! No1 Nokia tone 4 ur mob every week just txt NOKIA to 87077 Get txting and tell ur mates. zed POBox 36504 W45WQ norm150p/tone 16+
ham,For real when u getting on yo? I only need 2 more tickets and one more jacket and I'm done. I already used all my multis.
spam,Alert: Your Binance account has been locked due to security risks. Verify: binance-fix.io
spam,4mths half price Orange line rental & latest camera phones 4 FREE. Had your phone 11mths ? Call MobilesDirect free on 08000938767 to update now! or2stoptxt
spam,500 free text msgs. Just text ok to 80488 and we'll credit your account
ham,Sorry . I will be able to get to you. See you in the morning.
ham,Dunno da next show aft 6 is 850. Toa payoh got 650.
ham,"Sure, if I get an acknowledgement from you that it's astoundingly tactless and generally faggy to demand a blood oath fo"
ham,It's é only $140 ard...É rest all ard $180 at least...Which is é price 4 é 2 bedrm ($900)
ham,Lol I would but my mom would have a fit and tell the whole family how crazy and terrible I am
spam,Your Apple iCloud storage is full. Your backup has failed. Upgrade: icloud-storage-fix.me
ham,Not tonight mate. Catching up on some sleep. This is my new number by the way.
spam,* FREE* POLYPHONIC RINGTONE Text SUPER to 87131 to get your FREE POLY TONE of the week now! 16 SN PoBox202 NR31 7ZS subscription 450pw
ham,"says that he's quitting at least5times a day so i wudn't take much notice of that. Nah, she didn't mind. Are you gonna see him again? Do you want to come to taunton tonight? U can tell me all about !"
ham,1Apple/Day=No Doctor. 1Tulsi Leaf/Day=No Cancer. 1Lemon/Day=No Fat. 1Cup Milk/day=No Bone Problms 3 Litres Watr/Day=No Diseases Snd ths 2 Whom U Care..:-)
ham,No need to buy lunch for me.. I eat maggi mee..
ham,I like to think there's always the possibility of being in a pub later.
ham,"Yup, leaving right now, be back soon"
ham,Ü takin linear algebra today?
spam,Please CALL 08712402902 immediately as there is an urgent message waiting for you.
ham,Me sef dey laugh you. Meanwhile how's my darling anjie!
ham,"7 wonders in My WORLD 7th You 6th Ur style 5th Ur smile 4th Ur Personality 3rd Ur Nature 2nd Ur SMS and 1st ""Ur Lovely Friendship""... good morning dear"
ham,"Watching cartoon, listening music &amp; at eve had to go temple &amp; church.. What about u?"
ham,"Nothing, i got msg frm tht unknown no.."
ham,"I thought i'd get him a watch, just cos thats the kind of thing u get4an18th. And he loves so much!"
ham,"Well the weather in cali's great. But its complexities are great. You need a car to move freely, its taxes are outrageous. But all in all its a great place. The sad part is i missing home."
ham,After completed degree. There is no use in joining finance.
ham,Eh sorry leh... I din c ur msg. Not sad already lar. Me watching tv now. U still in office?
ham,2 laptop... I noe infra but too slow lar... I wan fast one
ham,Today iZ Yellow rose day. If u love my frndship give me 1 misscall &amp; send this to ur frndZ &amp; See how many miss calls u get. If u get 6missed U marry ur Lover.
ham,Hey i booked the kb on sat already... what other lessons are we going for ah? Keep your sat night free we need to meet and confirm our lodging
ham,Lol wtf random. Btw is that your lunch break
spam,Your Instagram account will be deleted for copyright. Appeal: insta-copyright.biz
ham,Here got ur favorite oyster... N got my favorite sashimi... Ok lar i dun say already... Wait ur stomach start rumbling...
ham,Hi! Your table at eBay is confirmed for 3:00 PM - 5:00 PM.
ham,"1) Go to write msg 2) Put on Dictionary mode 3)Cover the screen with hand, 4)Press  &lt;#&gt; . 5)Gently remove Ur hand.. Its interesting..:)"
ham,Of course ! Don't tease me ... You know I simply must see ! *grins* ... Do keep me posted my prey ... *loving smile* *devouring kiss*
ham,"It's that time of the week again, ryan"
spam,Get the 2026 Tax Relief package. Qualify for up to $7000 in credits: tax-relief.gov.co
spam,Get 90% off all winter coats and jackets. Inventory clearance sale: winter-coat-clearance.net
ham,i can call in  &lt;#&gt;  min if thats ok
spam,"our mobile number has won £5000, to claim calls us back or ring the claims hot line on 09050005321."
ham,I surely dont forgot to come:)i will always be in touch in with you:-)
ham,Babe ! What are you doing ? Where are you ? Who are you talking to ? Do you think of me ? Are you being a good boy? Are you missing me? Do you love me ?
spam,"You have been specially selected to receive a ""3000 award! Call 08712402050 BEFORE the lines close. Cost 10ppm. 16+. T&Cs apply. AG Promo"
ham,"Sorry, I can't help you on this."
ham,Good morning princess! How are you?
spam,Your Microsoft 365 account is suspended. Update payment: ms-billing-portal.net
ham,K actually can you guys meet me at the sunoco on howard? It should be right on the way
ham,Oh ok..
ham,Send this to ur friends and receive something about ur voice..... How is my speaking expression? 1.childish 2.naughty 3.Sentiment 4.rowdy 5.ful of attitude 6.romantic 7.shy 8.Attractive 9.funny  &lt;#&gt; .irritating  &lt;#&gt; .lovable. reply me..
spam,"YOUR CHANCE TO BE ON A REALITY FANTASY SHOW call now = 08707509020 Just 20p per min NTT Ltd, PO Box 1327 Croydon CR9 5WB 0870 is a national = rate call."
ham,Am I the only one who doesn't stalk profiles?
ham,Where can download clear movies. Dvd copies.
ham,Wat uniform? In where get?
ham,"Carlos is down but I have to pick it up from him, so I'll swing by usf in a little bit"
ham,Yunny... I'm goin to be late
ham,"Shit that is really shocking and scary, cant imagine for a second. Def up for night out. Do u think there is somewhere i could crash for night, save on taxi?"
ham,Glad to see your reply.
ham,Hahaha..use your brain dear
ham,Speak only when you feel your words are better than the silence... Gud mrng:-)
ham,Can u look 4 me in da lib i got stuff havent finish yet.
spam,Get a free sample of the world's most expensive perfume. Pay only shipping: bit.ly/scent-free
ham,Good afternoon my boytoy. How goes that walking here and there day ? Did you get that police abstract? Are you still out and about? I wake and miss you babe
spam,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.
ham,No message..no responce..what happend?
ham,Thank god they are in bed!
ham,i cant talk to you now.i will call when i can.dont keep calling.
spam,Your Zelle account has a new security update. Please login: zelle-secure.co
ham,"Hmm well, night night"
ham,I bought the test yesterday. Its something that lets you know the exact day u ovulate.when will get 2u in about 2 to 3wks. But pls pls dont fret. I know u r worried. Pls relax. Also is there anything in ur past history u need to tell me?
ham,Waaaat?? Lololo ok next time then!
ham,Please give it 2  or i will pick it up on Tuesday evening about 8 if that is ok.
ham,Why are u up so early?
spam,WIN a £200 Shopping spree every WEEK Starting NOW. 2 play text STORE to 88039. SkilGme. TsCs08714740323 1Winawk! age16 £1.50perweeksub.
ham,"Good afternoon, babe. How goes that day ? Any job prospects yet ? I miss you, my love ... *sighs* ... :-("
ham,Oh k:)after that placement there ah?
ham,C movie is juz last minute decision mah. Juz watch 2 lar but i tot ü not interested.
ham,As per your request 'Melle Melle (Oru Minnaminunginte Nurungu Vettam)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
spam,"FreeMsg Hey U, i just got 1 of these video/pic fones, reply WILD to this txt & ill send U my pics, hurry up Im so bored at work xxx (18 150p/rcvd STOP2stop)"
ham,Oh k.k..where did you take test?
ham,Finished class where are you.
ham,Not directly behind... Abt 4 rows behind ü...
spam,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.
spam,Your Venmo account was used to pay $150 to 'TicketMaster'. Not you? Dispute: venmo-fix.co
ham,"Edison has rightly said, ""A fool can ask more questions than a wise man can answer"" Now you know why all of us are speechless during ViVa.. GM,GN,GE,GNT:-)"
ham,"Thursday night? Yeah, sure thing, we'll work it out then"
ham,"I just lov this line: ""Hurt me with the truth, I don't mind,i wil tolerat.bcs ur my someone..... But, Never comfort me with a lie"" gud ni8 and sweet dreams"
ham,Dear we got  &lt;#&gt;  dollars hi hi
spam,Your American Express card was used for a $500 transaction. Dispute: amex-fix.co
ham,"It,,s a taxt massage....tie-pos argh ok! Lool!"
ham,I think asking for a gym is the excuse for lazy people. I jog.
ham,Dont gimme that lip caveboy
spam,"1000's flirting NOW! Txt GIRL or BLOKE & ur NAME & AGE, eg GIRL ZOE 18 to 8007 to join and get chatting!"
ham,No did you check? I got his detailed message now
spam,Get 95% off on all 'SafeSurf' VPN. Protect yourself: vpn-sale.net
spam,Alert: Your LinkedIn account was accessed from a device in Russia. Secure: ln-sec-check.me
ham,Ha ha - had popped down to the loo when you hello-ed me. Hello!
ham,As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune
ham,Jus telling u dat i'll b leaving 4 shanghai on 21st instead so we'll haf more time 2 meet up cya...
ham,Its on in engalnd! But telly has decided it won't let me watch it and mia and elliot were kissing! Damn it!
ham,Don't fret. I'll buy the ovulation test strips and send them to you. You wont get them til like march. Can you send me your postal address.u'll be alright.Okay.
ham,How's it going? Got any exciting karaoke type activities planned? I'm debating whether to play football this eve. Feeling lazy though.
ham,Need a coffee run tomo?Can't believe it's that time of week already
ham,Have you bookedthe hut? And also your time off? How are you by the way?
spam,Your TikTok profile was viewed by 'Top Talent Scouts'. See who: tt-view-scouts.biz
ham,We left already we at orchard now.
ham,"Sorry, I'll call you  later. I am in meeting sir."
ham,"You aren't coming home between class, right? I need to work out and shower!"
ham,I will take care of financial problem.i will help:)
spam,Get 95% off on all 'Total Shield' Premium Antivirus. One-day flash sale for new users: soft-shield-deals.net
ham,Don't look back at the building because you have no coat and i don't want you to get more sick. Just hurry home and wear a coat to the gym!!!
spam,"FREE MESSAGE Activate your 500 FREE Text Messages by replying to this message with the word FREE For terms & conditions, visit www.07781482378.com"
spam,Your Zelle account has a new security update. Login: zelle-secure-auth.co
ham,If india win or level series means this is record:)
ham,I'm in school now n i'll be in da lab doing some stuff give me a call when ü r done.
ham,Lol I know! They're so dramatic. Schools already closed for tomorrow. Apparently we can't drive in the inch of snow were supposed to get.
ham,"That's very rude, you on campus?"
ham,She doesnt need any test.
ham,Ard 6 like dat lor.
ham,"K I'm ready,  &lt;#&gt; ?"
ham,ARE YOU IN TOWN? THIS IS V. IMPORTANT
ham,Hey are we going for the lo lesson or gym?
spam,Your package from 'Fast Fashion' is arriving today. Track it here: track-package.info
spam,FreeMsg: Txt: CALL to No: 86888 & claim your reward of 3 hours talk time to use from your phone now! Subscribe6GBP/mnth inc 3hrs 16 stop?txtStop
ham,"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL"
ham,Cheers for the message Zogtorius. Ive been staring at my phone for an age deciding whether to text or not.
ham,I think just yourself …Thanks and see you tomo
ham,When you came to hostel.
ham,Thank you princess! I want to see your nice juicy booty...
ham,"no, i *didn't* mean to post it. I wrote it, and like so many other times i've ritten stuff to you, i let it sit there. it WAS what i was feeling at the time. I was angry. Before i left, i hit send, then stop. It wasn't there. I checked on my phone when i got to my car. It wasn't there. You said you didn't sleep, you were bored. So why wouldn't THAT be the time to clean, fold laundry, etc.? At least make the bed?"
ham,So why didnt you holla?
ham,Well good morning mr . Hows london treatin' ya treacle?
ham,I wish! I don't think its gonna snow that much. But it will be more than those flurries we usually get that melt before they hit the ground. Eek! We haven't had snow since &lt;#&gt; before I was even born!
ham,"Sad story of a Man - Last week was my b'day. My Wife did'nt wish me. My Parents forgot n so did my Kids . I went to work. Even my Colleagues did not wish. As I entered my cabin my PA said, '' Happy B'day Boss !!''. I felt special. She askd me 4 lunch. After lunch she invited me to her apartment. We went there. She said,'' do u mind if I go into the bedroom for a minute ? '' ''OK'', I sed in a sexy mood. She came out 5 minuts latr wid a cake...n My Wife, My Parents, My Kidz, My Friends n My Colleagues. All screaming.. SURPRISE !! and I was waiting on the sofa.. ... ..... ' NAKED...!"
spam,"Urgent Urgent! We have 800 FREE flights to Europe to give away, call B4 10th Sept & take a friend 4 FREE. Call now to claim on 09050000555. BA128NNFWFLY150ppm"
ham,"Nothing, smsing u n xy lor. Sorry lor da guys neva c u in person but they sort of know u lor. So u wan 2 meet them xy ask me 2 bring u along 4 our next meeting."
spam,Your Zelle account has a new update. Please login: zelle-secure.co
ham,Hey what happen de. Are you alright.
ham,I will reach office around  &lt;DECIMAL&gt; . &amp; my mobile have problem. You cann't get my voice. So call you asa i'll free
spam,Important: Your McAfee protection has expired. Your PC is at risk. Renew at mcafee-protection.org
spam,Not heard from U4 a while. Call 4 rude chat private line 01223585334 to cum. Wan 2C pics of me gettin shagged then text PIX to 8552. 2End send STOP 8552 SAM xxx
ham,Yes. They replied my mail. I'm going to the management office later. Plus will in to bank later also.or on wednesday.
ham,Am slow in using biola's fne
ham,And smile for me right now as you go and the world will wonder what you are smiling about and think your crazy and keep away from you ... *grins*
ham,"Short But Cute: ""Be a good person, but dont try to prove it.."" .Gud noon...."
ham,Yes there were many sweets
spam,"Your Telegram account is at risk of being deleted. To stop this, verify: tg-verify-auth.biz"
spam,"Win a $2,000 Home Depot Voucher! Enter: bit.ly/hd-voucher-draw"
ham,Yeah I can still give you a ride
ham,When u wana see it then
spam,"You've been pre-approved for a $50,000 personal loan with 0% interest for 6 months. Apply: easy-loans.net"
ham,Ok but tell me half an hr b4 u come i need 2 prepare.
ham,Havent shopping now lor i juz arrive only
ham,Hi Dear Call me its urgnt. I don't know whats your problem. You don't want to work or if you have any other problem at least tell me. Wating for your reply.
spam,Your domain 'mybusiness.com' is about to expire. Renew now to keep your site live: domain-fix.biz
ham,Can... I'm free...
spam,Your American Express card was used for a $1200 purchase. Dispute: amex-fix.co
spam,Your Robinhood account has a new suspicious activity alert. Review: robinhood-sec-check.co
ham,Have you had a good day? Mine was really busy are you up to much tomorrow night?
ham,You made my day. Do have a great day too.
ham,will you like to be spoiled? :)
spam,Get a free background check on anyone! See criminal records now: bit.ly/check-ppl
ham,The battery is for mr adewale my uncle. Aka Egbon
ham,Would really appreciate if you call me. Just need someone to talk to.
ham,I can do that! I want to please you both inside and outside the bedroom...
ham,Wat time r ü going to xin's hostel?
spam,Your American Express card was used for a $1200 purchase. Dispute: amex-fix.co
ham,I think it's all still in my car
spam,dating:i have had two of these. Only started after i sent a text to talk sport radio last week. Any connection do you think or coincidence?
ham,Where are the garage keys? They aren't on the bookshelf
ham,Yup i'm free...
spam,Your UPS delivery was redirected to a pickup point. See code: ups-locker.info
ham,Not able to do anything.
ham,As usual u can call me ard 10 smth.
ham,I am late. I will be there at
ham,Great! I shoot big loads so get ready!
spam,"Lowest prices on medications! No prescription needed. Pfizer, Xanax, and more at cheap-meds.biz"
spam,Your Etsy shipment is arriving. See tracking: etsy-track-order.me
ham,"Although i told u dat i'm into baig face watches now but i really like e watch u gave cos it's fr u. Thanx 4 everything dat u've done today, i'm touched..."
ham,Will do. Was exhausted on train this morning. Too much wine and pie. You sleep well too
ham,Still otside le..u come 2morrow maga..
ham,You are right though. I can't give you the space you want and need. This is really starting to become an issue. I was going to suggest setting a definite move out--if i'm still there-- after greece. But maybe you are ready and should do it now.
ham,I am not sure about night menu. . . I know only about noon menu
ham,"I know you are thinkin malaria. But relax, children cant handle malaria. She would have been worse and its gastroenteritis. If she takes enough to replace her loss her temp will reduce. And if you give her malaria meds now she will just vomit. Its a self limiting illness she has which means in a few days it will completely stop"
ham,Same as kallis dismissial in 2nd test:-).
spam,Win a $1000 Best Buy Gift Card! Only 5 winners left. bit.ly/bb-win
ham,"Dear Hero,i am leaving to qatar tonite for an apt opportunity.pls do keep in touch at  &lt;EMAIL&gt; ,kerala"
ham,Just buy a pizza. Meat lovers or supreme. U get to pick.
ham,Havent mus ask if u can 1st wat. Of meet 4 lunch den u n him meet can already lor. Or u wan 2 go ask da ge 1st then confirm w me asap?
ham,"Thank You for calling.Forgot to say Happy Onam to you Sirji.I am fine here and remembered you when i met an insurance person.Meet You in Qatar Insha Allah.Rakhesh, ex Tata AIG who joined TISSCO,Tayseer."
